AQI,Concentration,Date,Health,Location,count
172.2,96.5,8/23/18,Unhealthy,Bend,
125,45.3,8/23/18,USG,La Grande,
163.7,80,8/23/18,Unhealthy,Medford,
93.3,32.2,8/23/18,Mod,Portland,
168.9,90.1,8/22/18,Unhealthy,Bend,
71.2,21.7,8/22/18,Mod,La Grande,
174.6,101.2,8/22/18,Unhealthy,Medford,
154.1,61.4,8/22/18,Unhealthy,Portland,
153.7,60.7,8/21/18,Unhealthy,Bend,
103.5,36.5,8/21/18,USG,La Grande,
174.5,101.1,8/21/18,Unhealthy,Medford,
154.1,61.6,8/21/18,Unhealthy,Portland,
158,68.3,8/20/18,Unhealthy,Bend,24
183,117.9,8/20/18,Unhealthy,La Grande,24
113,40.3,8/20/18,USG,Medford,24
151,56,8/20/18,Unhealthy,Portland,24
62,17.1,8/19/18,Moderate,Bend,24
99,35.1,8/19/18,Moderate,La Grande,24
78,24.7,8/19/18,Moderate,Medford,24
106,37.5,8/19/18,USG,Portland,24
50,12,8/18/18,Good,Bend,24
55,13.8,8/18/18,Moderate,La Grande,24
89,30.4,8/18/18,Moderate,Medford,24
60,16.2,8/18/18,Moderate,Portland,24
68,20.2,8/17/18,Moderate,Bend,24
59,16.1,8/17/18,Moderate,La Grande,24
105,37,8/17/18,USG,Medford,24
26,6.2,8/17/18,Good,Portland,24
91,31.2,8/16/18,Moderate,Bend,24
78,24.8,8/16/18,Moderate,La Grande,24
175,101.3,8/16/18,Unhealthy,Medford,24
57,15,8/16/18,Moderate,Portland,24
98,34.6,8/15/18,Moderate,Bend,24
110,39.1,8/15/18,USG,La Grande,24
220,169.6,8/15/18,Very unhealthy,Medford,23
156,64.3,8/15/18,Unhealthy,Portland,24
104,36.8,8/14/18,USG,Bend,24
138,50.5,8/14/18,USG,La Grande,24
207,156.2,8/14/18,Very unhealthy,Medford,24
164,80.5,8/14/18,Unhealthy,Portland,24
42,10.2,8/13/18,Good,Bend,24
65,18.8,8/13/18,Moderate,La Grande,24
157,68.1,8/13/18,Unhealthy,Medford,24
57,14.8,8/13/18,Moderate,Portland,24
28,6.7,8/12/18,Good,Bend,24
28,6.7,8/12/18,Good,La Grande,24
84,27.9,8/12/18,Moderate,Medford,24
15,3.6,8/12/18,Good,Portland,24
47,11.2,8/11/18,Good,Bend,24
52,12.5,8/11/18,Moderate,La Grande,24
160,73.9,8/11/18,Unhealthy,Medford,24
9,2.2,8/11/18,Good,Portland,24
80,26.1,8/10/18,Moderate,Bend,24
83,27.4,8/10/18,Moderate,La Grande,24
