Oregonian ID,Site Name,Address,City,State,Lat,Long,Inspection conducted?,Inspection report available?,Inspection year,Lead present?,Earlier lead discovery reported,Highest lead level detected (ug),Where highest lead level detected?,Lead present outside range?,Notes,Had firing range?,Firing range use,Additional details
1099,AFRC Mobile,1620 S. Broad St,Mobile,Alabama,30.6537487,-88.0626203,No,No,,Unknown,,,,Unknown,,Unknown,,
1100,Alexander City,2101 Sugar Creek Rd,Alexander City,Alabama,32.9152912,-85.9566203,Yes,Yes,2014,Yes,,331,Firing range: center floor,Unknown,,Yes,,
1101,Aliceville,539 Memorial Parkway NW,Aliceville,Alabama,33.1271055,-88.1452646,Yes,Yes,2012,Yes,,265,Bottom vault floor,Unknown,,Unknown,,
1102,Birmingham AFRC,5300 57th St N,Birmingham,Alabama,33.5747335,-86.7527842,Yes,Yes,2012,No,,,,No,,Unknown,,
1103,Brantley,10415 Opp Highway,Brantley,Alabama,31.5251271,-86.2359365,No,No,2011,Unknown,Yes,,,Unknown,,Yes,,2011 report found 191 ug on converted firing range: right wall behind firing line.
1104,Calera,1320 8th Avenue,Calera,Alabama,33.1084697,-86.7542117,Yes,Yes,2014,Yes,,479,"Weapons vault, per spokeswoman",Unknown,,Unknown,,
1105,Centreville,185 Walnut St.,Centreville,Alabama,32.9446966,-87.1535582,Yes,Yes,2014,Yes,,771,Room 129,Unknown,,Unknown,,
1106,Clanton,406 Airport Road,Clanton,Alabama,32.8465406,-86.6184678,Yes,Yes,2015,Yes,,76,Center floor,Unknown,,Yes,,
1107,Cullman,2340 Cherokee Ave. SW,Cullman,Alabama,34.1544342,-86.8400607,Yes,Yes,2014,Yes,,241,Right (vault),Unknown,,Yes,,
1108,Fairhope,550 Fairwood Blvd,Fairhope,Alabama,30.5313426,-87.8996306,Yes,Yes,2012,Yes,,46,Top left drill hall floor,Yes,,Yes,,
1109,Foley,315 E. Jessamine Ave.,Foley,Alabama,30.4075141,-87.6871957,Yes,Yes,2012,Yes,,45,Recruit Sustainment Program back wall,Unknown,,Unknown,,
1110,Ft. Deposit,200 Old Fort Road East,Fort Deposit,Alabama,31.9857565,-86.5914404,Yes,Yes,2012,No,,,,No,,Yes,,
1111,Gadsden,176 Ira Gray Dr,Gadsden,Alabama,33.9739244,-86.0783364,Yes,Yes,2014,Unknown,,,,Unknown,,Unknown,,Didn't survey for lead on surfaces.
1112,Homewood,2100 S. Lakeshore Dr,Homewood,Alabama,33.4651609,-86.7824737,Yes,Yes,2014,Yes,,56,Center floor,Unknown,,Yes,,
1113,Huntsville,2499 Johnson Road SW,Huntsville,Alabama,34.6881863,-86.5913571,Yes,Yes,2014,Yes,,164,"Vault, per spokeswoman",Unknown,,Yes,,
1114,Huntsville,3514 S. Memorial Parkway,Huntsville,Alabama,34.6961678,-86.5839381,Yes,Yes,2014,Yes,,412,Unknown,Unknown,,Yes,,
1115,Jasper,2901 Hwy 69 South,Jasper,Alabama,33.8206883,-87.3063416,Yes,Yes,2015,Yes,,196,L wall 10 feet,Unknown,,Yes,,
1116,Mobile/Fort Whiting,1630 S. Broad St.,Mobile,Alabama,30.6525288,-88.0617959,Yes,Yes,2014,Yes,,209,Backstop 5 feet (firing range),No,,Yes,,
1117,Montgomery/Fort Wallace,1750 Congressman Dickinson Dr.,Montgomery,Alabama,32.4075,-86.2596,Yes,Yes,2012,Yes,,714,Center vault,Unknown,,Unknown,,
