ID,Name,Type
1,Baker High School,traditional
2,Baker Middle School,traditional
4,Baker Web Academy,charter
5,Brooklyn Elementary School,traditional
6,Burnt River School District,charter
7,Eagle Cap High School,traditional
9,Haines Elementary School,traditional
11,Huntington School District 16J,charter
12,Keating Elementary School,traditional
13,Pine Eagle Charter School,charter
14,South Baker Intermediate,traditional
15,Adams Elementary School,traditional
17,Alsea Middle School And High School,charter
19,Blodgett Elementary School,traditional
20,Cheldelin Middle School,traditional
21,Clemens Primary School,traditional
22,Corvallis High School,traditional
25,Crescent Valley High School,traditional
27,Fir Grove Primary School,traditional
28,Franklin Elementary School,traditional
29,Franklin Middle School,traditional
30,Garfield Elementary School,traditional
31,Hoover Elementary School,traditional
32,Jefferson Elementary School,traditional
34,Kings Valley Charter School - Elementary,charter
35,Kings Valley Charter School - Middle & High School,charter
37,Lincoln Elementary School,traditional
38,Linus Pauling Middle School,traditional
39,Monroe Grade School,traditional
40,Monroe High School,traditional
41,Monroe Middle School,traditional
42,Mountain View Elementary School,traditional
43,Muddy Creek Charter School,charter
44,North Albany Elementary School,traditional
45,North Albany Middle School,traditional
46,Oak Grove Elementary School,traditional
47,Philomath Elementary School,traditional
48,Philomath High School,traditional
49,Philomath Middle School,traditional
53,Wilson Elementary School,traditional
55,Alder Creek Middle School,traditional
56,Alliance Charter Academy,charter
59,Ardenwald Elementary,traditional
60,Arts And Technology High School,traditional
61,Athey Creek Middle School,traditional
62,Baker Prairie Middle School,traditional
64,Beavercreek Elementary,traditional
65,Bilquist Elementary,traditional
66,Boeckman Creek Primary,traditional
67,Bolton Primary,traditional
68,Boones Ferry Elementary,traditional
69,Boring Middle School,traditional
72,Butte Creek School,traditional
74,Canby High School,traditional
76,Candy Lane Elementary,traditional
77,Carus Elementary,traditional
78,Cascade Heights Public Charter School,charter
81,Cedar Ridge Middle School,traditional
82,Cedaroak Park Primary,traditional
85,Clackamas High School,traditional
86,Clackamas Middle College,charter
87,Clackamas River Elementary,traditional
88,Clarkes Elementary,traditional
89,Colton Elementary,traditional
90,Colton High School,traditional
91,Colton Middle School,traditional
95,Duncan Elmentary,traditional
96,Eccles Elementary,traditional
97,El Puente Elementary,traditional
99,Estacada High School,traditional
100,Estacada Junior High,traditional
102,Firwood Elementary,traditional
103,Forest Hills Elementary,traditional
104,Gaffney Lane Elementary,traditional
105,Gardiner Middle School,traditional
106,Gladstone Center For Children,traditional
107,Gladstone High School,traditional
111,Hallinan Elementary,traditional
112,Happy Valley Elementary,traditional
113,Happy Valley Middle School,traditional
118,Holcomb Elementary,traditional
121,Jennings Lodge Elementary,traditional
122,John McLoughlin Elementary,traditional
123,John Wetten Elementary,traditional
124,Kelso Elementary,traditional
125,Kraxberger Middle School,traditional
127,Lake Grove Elementary,traditional
128,Lake Oswego High School,traditional
129,Lake Oswego Jr High School,traditional
130,Lakeridge High School,traditional
131,Lakeridge Junior High,traditional
135,Lewelling Elementary,traditional
136,Linwood Elementary,traditional
137,Lowrie Primary School,traditional
140,Milwaukie Academy Of Arts,charter
141,Milwaukie Elementary,traditional
142,Milwaukie High School,traditional
144,Molalla Elementary,traditional
145,Molalla High School,traditional
146,Molalla River Academy,charter
147,Molalla River Middle School,traditional
150,Mt Scott Elementary,traditional
151,Mulino Elementary,traditional
152,Naas Elementary,traditional
153,New Urban High School,traditional
154,Ninety One School,traditional
156,Oak Creek Elementary,traditional
159,Oak Grove Elementary,traditional
160,Ogden Middle School,traditional
162,Oregon City High School,traditional
163,Oregon City Service Learning Academy,charter
164,Oregon Trail Academy,charter
165,Oregon Trail Elementary,traditional
169,Philander Lee Elementary,traditional
171,Redland Elementary,traditional
172,Renaissance Public Academy,charter
174,Rex Putnam High School,traditional
175,River Grove Elementary,traditional
176,River Mill Elementary,traditional
178,Riverside Elementary,traditional
179,Rock Creek Middle School,traditional
180,Rosemont Ridge Middle School,traditional
181,Rowe Middle School,traditional
182,Rural Dell Elementary,traditional
183,Sandy Grade,traditional
184,Sandy High School,traditional
185,Scouters Mountain,traditional
186,Sojourner Elementary School,traditional
188,Spring Mountain Elementary,traditional
189,Springwater Environmental Sciences School,charter
193,Stafford Primary,traditional
194,Summit Learning Charter,charter
196,Sunnyside Elementary,traditional
198,Sunset Primary,traditional
199,Three Rivers Charter School,charter
202,Trillium Creek Primary School,traditional
203,Trost Elementary,traditional
206,View Acres Elementary,traditional
207,Welches Elementary,traditional
208,Welches Middle School,traditional
210,West Linn High School,traditional
211,Westridge Elementary,traditional
212,Whitcomb Elementary,traditional
213,Willamette Primary,traditional
214,William Knight Elementary,traditional
215,Wilsonville High School,traditional
216,Wood Middle School,traditional
217,Astor Elementary,traditional
218,Astoria High School,traditional
219,Astoria Middle School,traditional
220,Broadway Middle School,traditional
221,Gearhart Elementary,traditional
222,Hilda Lahti Elementary,traditional
223,Hilda Lahti Junior High,traditional
224,Jewell Elementary School,traditional
225,Jewell High School,traditional
226,Jewell Middle School,traditional
227,Knappa High School,traditional
228,Lewis & Clark Elementary,traditional
230,North Coast Youth Correctional Facility - South Je,traditional
231,Seaside Heights Elementary,traditional
232,Seaside High School,traditional
233,Warrenton Grade School 4-8,traditional
234,Warrenton Grade School K-3,traditional
235,Warrenton High School,traditional
236,Clatskanie Elementary,traditional
237,Clatskanie Middle/High School,traditional
240,North Columbia Academy,charter
242,Rainier Hudson Park Elementary,traditional
243,Rainier Junior/Senior High School,traditional
244,Sauvie Island School,charter
246,Scappoose Grant Watts Grade School,traditional
247,Scappoose High School,traditional
248,Scappoose Middle School,traditional
249,Scappoose Otto H.H. Peterson,traditional
250,Scappoose Warren Elementary,traditional
251,South Columbia Family School,charter
252,St Helens Yankton Arthur Academy,charter
253,St. Helens Columbia County Education Campus (Ccec),traditional
254,St. Helens High School,traditional
255,St. Helens Lewis & Clark Elementary,traditional
256,St. Helens McBride Elementary,traditional
257,St. Helens Middle School,traditional
258,Vernonia Elementary,traditional
259,Vernonia High School,traditional
260,Vernonia Middle School,traditional
261,Vernonia Mist Grade School,traditional
262,Bandon High School,traditional
264,Blossom Gulch Elementary,traditional
269,Coquille Jr/Sr High School,traditional
270,Coquille Valley Elementary School,traditional
271,Destinations Academy,traditional
273,Harbor Lights Middle School,traditional
274,Hillcrest Elementary,traditional
276,Lighthouse School,charter
277,Lincoln School Of Early Learning,traditional
278,Madison Elementary,traditional
279,Marshfield High School,traditional
280,Millicoma Middle School,traditional
281,Myrtle Crest Elementary,traditional
282,Myrtle Point Junior/Senior High School,traditional
283,North Bay Elementary,traditional
284,North Bend High School,traditional
285,North Bend Middle School,traditional
286,Ocean Crest Elementary School,traditional
287,Oregon Virtual Academy,charter
288,Powers School District,traditional
289,Resource Link Public Charter School,charter
291,Sunset Middle School,traditional
293,Winter Lakes School,traditional
294,Barnes Butte Elementary,traditional
297,Crook County High School,traditional
298,Crook County Middle School,traditional
299,Crook County Pioneer Secondary Alternative High School,traditional
300,Crooked River Elementary,traditional
302,Paulina Elementary School,traditional
303,Powell Butte Community Charter School,charter
305,Azalea Middle School,traditional
307,Brookings-Harbor High School,traditional
308,Driftwood Elementary,traditional
309,Gold Beach High School,traditional
310,Kalmiopsis Elementary School,traditional
311,Pacific High School,traditional
312,Riley Creek Elementary,traditional
313,Amity Creek Magnet School,traditional
314,Bear Creek Elementary,traditional
315,Bend International School,charter
316,Bend Senior High School,traditional
317,Buckingham Elementary School,traditional
319,Cascade Middle School,traditional
325,Elk Meadow Elementary,traditional
326,Elton Gregory Middle School,traditional
327,Ensworth Elementary,traditional
330,High Desert Middle School,traditional
331,High Lakes Elementary School,traditional
332,Highland Elementary,traditional
333,John Tuck Elementary,traditional
334,Juniper Elementary,traditional
335,Lapine Elementary,traditional
336,Lapine High School,traditional
337,Lapine Middle School,traditional
338,Lava Ridge Elementary,traditional
339,M A Lynch Elementary School,traditional
340,Marshall High School,traditional
341,Miller Elementary School,traditional
343,Mt View High School,traditional
345,Obsidian Middle School,traditional
346,Pacific Crest Middle School,traditional
347,Pilot Butte Middle School,traditional
348,Pine Ridge Elementary School,traditional
349,Ponderosa Elementary,traditional
350,R E Jewell Elementary,traditional
351,Realms Charter School,traditional
353,Redmond High School,traditional
354,Redmond Proficiency Academy,charter
355,Ridgeview High School,traditional
356,Rosland Elementary,traditional
357,Sage Elementary,traditional
359,Silver Rail Elementary,traditional
361,Sisters Elementary School,traditional
