State,Senator_x,First Name_x,Last Name,Official Senator Twitter Id,Senate Staff Twitter Id,Campaign/Other ID,Facebook (WIP),address,bioguide_id,class,email,First Name_y,leadership_position,member_full,party,phone,state,website,Senator_y,Abr.,Capital,Screen Name,Preferred Name,Image,Time,Description,Link,Text,Verified?,account_type,DateTime,Date,Address
Tennessee,Lamar Alexander,Lamar,Alexander,@SenAlexander,,@LamarAlexander,,455 Dirksen Senate Office Building Washington DC 20510,A000360,Class II,http://www.alexander.senate.gov/public/index.cfm?p=Email,Lamar,,Alexander (R-TN),R,(202) 224-4944,TN,http://www.alexander.senate.gov/,Lamar Alexander,TN,Nashville,@SenAlexander,Sen. Lamar Alexander,http://pbs.twimg.com/profile_images/824390599361044480/nZa0YXpu_normal.jpg,22:27:06,"Follow Sen. Alexander in TN, in DC, and in the news.",https://twitter.com/i/web/status/896498305982758913,The deplorable hatred and violence in Charlottesville today defaces our most cherished values and traditions.,TRUE,Official,2017-08-12 22:27:06,2017-08-12,"Nashville, TN"
Wisconsin,Tammy Baldwin,Tammy,Baldwin,@SenatorBaldwin,,@tammybaldwin,,709 Hart Senate Office Building Washington DC 20510,B001230,Class I,https://www.baldwin.senate.gov/feedback,Tammy,,Baldwin (D-WI),D,(202) 224-5653,WI,http://www.baldwin.senate.gov/,Tammy Baldwin,WI,Madison,@SenatorBaldwin,Sen. Tammy Baldwin,http://pbs.twimg.com/profile_images/888484691120148481/IQiOuvpT_normal.jpg,18:54:26,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",https://twitter.com/i/web/status/896444784402980865,"Racism, hatred, and violence have no place in America. Concerned and disgusted by the events in #Charlottesville. https://t.co/pEJ1FAbbC7",TRUE,Official,2017-08-12 18:54:26,2017-08-12,"Madison, WI"
Wyoming,John Barrasso,John,Barrasso,@SenJohnBarrasso,,@barrassoforwyo,,307 Dirksen Senate Office Building Washington DC 20510,B001261,Class I,https://www.barrasso.senate.gov/public/index.cfm/contact-form,John,,Barrasso (R-WY),R,(202) 224-6441,WY,http://www.barrasso.senate.gov,John Barrasso,WY,Cheyenne,@SenJohnBarrasso,Sen. John Barrasso,http://pbs.twimg.com/profile_images/1143907394/twitter_profile_pic_normal.JPG,1:45:26,U.S. Senator for the great state of Wyoming and @SenateRPC Chairman.,https://twitter.com/i/web/status/896548214702301188,Saddened by the events in #Charlottesville. Violence and hatred are not the American way. Prayers for the victims.,TRUE,Official,2017-08-13 1:45:26,2017-08-13,"Cheyenne, WY"
Colorado,Michael Bennet,Michael,Bennet,@SenBennetCO,,@BennetForCO,,261 Russell Senate Office Building Washington DC 20510,B001267,Class III,https://www.bennet.senate.gov/?p=contact,Michael,,Bennet (D-CO),D,(202) 224-5852,CO,http://www.bennet.senate.gov,Michael Bennet,CO,Denver,@SenBennetCO,Michael F. Bennet,http://pbs.twimg.com/profile_images/897159863863836676/lopmOrpE_normal.jpg,18:08:47,U.S. Senator for Colorado,https://twitter.com/i/web/status/896433296145620993,"The events in VA are contrary to all we stand for as a country. Embrace inclusion, celebrate differences—that's the America we believe in.",TRUE,Official,2017-08-12 18:08:47,2017-08-12,"Denver, CO"
Connecticut,Richard Blumenthal,Richard,Blumenthal,@SenBlumenthal,,@DickBlumenthal,,706 Hart Senate Office Building Washington DC 20510,B001277,Class III,https://www.blumenthal.senate.gov/contact/,Richard,,Blumenthal (D-CT),D,(202) 224-2823,CT,http://www.blumenthal.senate.gov,Richard Blumenthal,CT,Hartford,@SenBlumenthal,Richard Blumenthal,http://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg,0:30:12,Connecticut’s U.S. Senator,https://twitter.com/i/web/status/896529284822597632,Violence in Charlottesville today is an act of domestic terrorism. All should denounce white supremacist&amp;other hate groups that spawned it.,TRUE,Official,2017-08-13 0:30:12,2017-08-13,"Hartford, CT"
Connecticut,Richard Blumenthal,Richard,Blumenthal,@SenBlumenthal,,@DickBlumenthal,,706 Hart Senate Office Building Washington DC 20510,B001277,Class III,https://www.blumenthal.senate.gov/contact/,Richard,,Blumenthal (D-CT),D,(202) 224-2823,CT,http://www.blumenthal.senate.gov,Richard Blumenthal,CT,Hartford,,,,,,,,,,,,
Missouri,Roy Blunt,Roy,Blunt,@RoyBlunt,@RoyBluntPress,@RoyBluntMO,,260 Russell Senate Office Building Washington DC 20510,B000575,Class III,https://www.blunt.senate.gov/public/index.cfm/contact-roy,Roy,,Blunt (R-MO),R,(202) 224-5721,MO,http://www.blunt.senate.gov,Roy Blunt,MO,Jefferson City,@RoyBlunt,Senator Roy Blunt,http://pbs.twimg.com/profile_images/535810548802125824/X0pxn3zA_normal.jpeg,22:10:10,Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.,https://twitter.com/i/web/status/896494044318191616,The hate and violence in #Charlottesville have no place in America,TRUE,Official,2017-08-12 22:10:10,2017-08-12,"Jefferson City, MO"
New Jersey,Cory Booker,Cory,Booker,@CoryBooker,@SenBookerOfc,@Booker4Senate,,359 Dirksen Senate Office Building Washington DC 20510,B001288,Class II,https://www.booker.senate.gov/?p=contact,Cory,,Booker (D-NJ),D,(202) 224-3224,NJ,http://www.booker.senate.gov,Cory Booker,NJ,Trenton,@CoryBooker,Cory Booker,http://pbs.twimg.com/profile_images/808720861561819136/ErfTMaMx_normal.jpg,6:59:22,U.S. Senator from New Jersey,https://twitter.com/i/web/status/896627221116456960,RT @amjoyshow: .@Sifill_LDF: We cannot pretend it's normal for the president to not speak out against kind of white supremacy we saw today…,TRUE,Official,2017-08-13 6:59:22,2017-08-13,"Trenton, NJ"
New Jersey,Cory Booker,Cory,Booker,@CoryBooker,@SenBookerOfc,@Booker4Senate,,359 Dirksen Senate Office Building Washington DC 20510,B001288,Class II,https://www.booker.senate.gov/?p=contact,Cory,,Booker (D-NJ),D,(202) 224-3224,NJ,http://www.booker.senate.gov,Cory Booker,NJ,Trenton,@CoryBooker,Cory Booker,http://pbs.twimg.com/profile_images/808720861561819136/ErfTMaMx_normal.jpg,6:58:47,U.S. Senator from New Jersey,https://twitter.com/i/web/status/896627073497923585,"RT @NAACP_LDF: White supremacist violence is an unconscionable part of our history, but we can't allow it to poison our future. https://t.c…",TRUE,Official,2017-08-13 6:58:47,2017-08-13,"Trenton, NJ"
Arkansas,John Boozman,John,Boozman,@JohnBoozman,,@Boozman4AR,,141 Hart Senate Office Building Washington DC 20510,B001236,Class III,https://www.boozman.senate.gov/public/index.cfm/contact,John,,Boozman (R-AR),R,(202) 224-4843,AR,http://www.boozman.senate.gov/,John Boozman,AR,Little Rock,@JohnBoozman,Senator John Boozman,http://pbs.twimg.com/profile_images/1252648707/Senator_John_Boozman_-_twitter2_normal.jpg,20:10:18,Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843,https://twitter.com/i/web/status/896463875519819776,The violence &amp; hatred in #Charlottesville is unacceptable. Bigotry has no place in our society. We solve our problems by working together.,TRUE,Official,2017-08-12 20:10:18,2017-08-12,"Little Rock, AR"
