Address,Bioguide ID,Class,Email,First Name,Last Name,Leadership Position,Member Full,party,Phone,State,Website,Senator
455 Dirksen Senate Office Building Washington DC 20510,A000360,Class II,http://www.alexander.senate.gov/public/index.cfm?p=Email,Lamar,Alexander,,Alexander (R-TN),R,(202) 224-4944,TN,http://www.alexander.senate.gov/,Lamar Alexander
709 Hart Senate Office Building Washington DC 20510,B001230,Class I,https://www.baldwin.senate.gov/feedback,Tammy,Baldwin,,Baldwin (D-WI),D,(202) 224-5653,WI,http://www.baldwin.senate.gov/,Tammy Baldwin
307 Dirksen Senate Office Building Washington DC 20510,B001261,Class I,https://www.barrasso.senate.gov/public/index.cfm/contact-form,John,Barrasso,,Barrasso (R-WY),R,(202) 224-6441,WY,http://www.barrasso.senate.gov,John Barrasso
261 Russell Senate Office Building Washington DC 20510,B001267,Class III,https://www.bennet.senate.gov/?p=contact,Michael,Bennet,,Bennet (D-CO),D,(202) 224-5852,CO,http://www.bennet.senate.gov,Michael Bennet
706 Hart Senate Office Building Washington DC 20510,B001277,Class III,https://www.blumenthal.senate.gov/contact/,Richard,Blumenthal,,Blumenthal (D-CT),D,(202) 224-2823,CT,http://www.blumenthal.senate.gov,Richard Blumenthal
260 Russell Senate Office Building Washington DC 20510,B000575,Class III,https://www.blunt.senate.gov/public/index.cfm/contact-roy,Roy,Blunt,,Blunt (R-MO),R,(202) 224-5721,MO,http://www.blunt.senate.gov,Roy Blunt
359 Dirksen Senate Office Building Washington DC 20510,B001288,Class II,https://www.booker.senate.gov/?p=contact,Cory,Booker,,Booker (D-NJ),D,(202) 224-3224,NJ,http://www.booker.senate.gov,Cory Booker
141 Hart Senate Office Building Washington DC 20510,B001236,Class III,https://www.boozman.senate.gov/public/index.cfm/contact,John,Boozman,,Boozman (R-AR),R,(202) 224-4843,AR,http://www.boozman.senate.gov/,John Boozman
713 Hart Senate Office Building Washington DC 20510,B000944,Class I,http://www.brown.senate.gov/contact/,Sherrod,Brown,,Brown (D-OH),D,(202) 224-2315,OH,http://www.brown.senate.gov/,Sherrod Brown
217 Russell Senate Office Building Washington DC 20510,B001135,Class III,https://www.burr.senate.gov/contact/email,Richard,Burr,,Burr (R-NC),R,(202) 224-3154,NC,http://www.burr.senate.gov,Richard Burr
511 Hart Senate Office Building Washington DC 20510,C000127,Class I,http://www.cantwell.senate.gov/public/index.cfm/email-maria,Maria,Cantwell,,Cantwell (D-WA),D,(202) 224-3441,WA,http://www.cantwell.senate.gov,Maria Cantwell
172 Russell Senate Office Building Washington DC 20510,C001047,Class II,https://www.capito.senate.gov/contact/contact-shelley,Shelley Moore,Capito,,Capito (R-WV),R,(202) 224-6472,WV,http://www.capito.senate.gov,Shelley Moore Capito
509 Hart Senate Office Building Washington DC 20510,C000141,Class I,http://www.cardin.senate.gov/contact/,Benjamin,Cardin,,Cardin (D-MD),D,(202) 224-4524,MD,http://www.cardin.senate.gov/,Benjamin Cardin
513 Hart Senate Office Building Washington DC 20510,C000174,Class I,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,Thomas,Carper,,Carper (D-DE),D,(202) 224-2441,DE,http://www.carper.senate.gov,Thomas Carper
393 Russell Senate Office Building Washington DC 20510,C001070,Class I,https://www.casey.senate.gov/contact/,Robert,Casey,,Casey (D-PA),D,(202) 224-6324,PA,http://www.casey.senate.gov/,Robert Casey
520 Hart Senate Office Building Washington DC 20510,C001075,Class II,https://www.cassidy.senate.gov/contact,Bill,Cassidy,,Cassidy (R-LA),R,(202) 224-5824,LA,http://www.cassidy.senate.gov,Bill Cassidy
113 Dirksen Senate Office Building Washington DC 20510,C000567,Class II,https://www.cochran.senate.gov/public/index.cfm/email-me,Thad,Cochran,,Cochran (R-MS),R,(202) 224-5054,MS,http://www.cochran.senate.gov,Thad Cochran
413 Dirksen Senate Office Building Washington DC 20510,C001035,Class II,http://www.collins.senate.gov/contact,Susan,Collins,,Collins (R-ME),R,(202) 224-2523,ME,http://www.collins.senate.gov,Susan Collins
127A Russell Senate Office Building Washington DC 20510,C001088,Class II,https://www.coons.senate.gov/contact,Christopher,Coons,,Coons (D-DE),D,(202) 224-5042,DE,http://www.coons.senate.gov/,Christopher Coons
425 Dirksen Senate Office Building Washington DC 20510,C001071,Class I,https://www.corker.senate.gov/public/index.cfm/emailme,Bob,Corker,,Corker (R-TN),R,(202) 224-3344,TN,http://www.corker.senate.gov/,Bob Corker
"517 Hart Senate Office Building Washington DC 20510        ",C001056,Class II,https://www.cornyn.senate.gov/contact,John,Cornyn,Assistant Majority Leader,Cornyn (R-TX),R,(202) 224-2934,TX,http://www.cornyn.senate.gov/,John Cornyn
204 Russell Senate Office Building Washington DC 20510,C001113,Class III,https://www.cortezmasto.senate.gov/contact,Catherine,Cortez Masto,,Cortez Masto (D-NV),D,(202) 224-3542,NV,http://www.cortezmasto.senate.gov,Catherine Cortez Masto
"124 Russell Senate Office Building Washington DC 20510        ",C001095,Class II,http://www.cotton.senate.gov/?p=contact,Tom,Cotton,,Cotton (R-AR),R,(202) 224-2353,AR,http://www.cotton.senate.gov,Tom Cotton
