State,Senator,First Name,Last Name,Official Senator Twitter Id,Senate Staff Twitter Id,Campaign/Other ID,Facebook (WIP)
Alabama,Richard Shelby,Richard,Shelby,@SenShelby,,,RichardShelby
Alabama,Luther Strange,Luther,Strange,@lutherstrange,,,
Alaska,Lisa Murkowski,Lisa,Murkowski,@lisamurkowski,,@Lisa4Senate,SenLisaMurkowski
Alaska,Dan Sullivan,Dan,Sullivan,@SenDanSullivan,,@DanSullivan2014,DanSullivanforAlaska
Arizona,John McCain,John,McCain,@SenJohnMcCain,,@TeamMcCain,johnmccain
Arizona,Jeff Flake,Jeff,Flake,@JeffFlake,,@FlakeforSenate,
Arkansas,Tom Cotton,Tom,Cotton,@SenTomCotton,,@TomCottonAR,
Arkansas,John Boozman,John,Boozman,@JohnBoozman,,@Boozman4AR,
California,Dianne Feinstein,Dianne,Feinstein,@SenFeinstein,,@DianneFeinstein,
California,Kamala Harris,Kamala,Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris
Colorado,Michael Bennet,Michael,Bennet,@SenBennetCO,,@BennetForCO,
Colorado,Cory Gardner,Cory,Gardner,@SenCoryGardner,,@CoryGardner,
Connecticut,Christopher Murphy,Christopher,Murphy,@ChrisMurphyCT,,,
Connecticut,Richard Blumenthal,Richard,Blumenthal,@SenBlumenthal,,@DickBlumenthal,
Delaware,Tom Carper,Tom,Carper,@SenatorCarper,@SenCarper_Press,@TomCarperforDE,
Delaware,Chris Coons,Chris,Coons,@ChrisCoons,@SenCoonsOffice,@coons4delaware,
Florida,Bill Nelson,Bill,Nelson,@SenBillNelson,,@NelsonForSenate,
Florida,Marco Rubio,Marco,Rubio,@marcorubio,@SenRubioPress,,
Georgia,Saxby Chambliss,Saxby,Chambliss,@SaxbyChambliss,,,
Georgia,David Perdue,David,Perdue,@SenDavidPerdue,,@Perduesenate,
Georgia,Johnny Isakson,Johnny,Isakson,@SenatorIsakson,,@JohnnyIsakson,
Hawaii,Brian Schatz,Brian,Schatz,@brianschatz,@SenBrianSchatz,@SchatzforHawaii,
Hawaii,Mazie K. Hirono,Mazie,Hirono,@maziehirono,,@mazieforhawaii,
Idaho,Mike Crapo,Mike,Crapo,@MikeCrapo,,@crapo4senate,
Idaho,Jim Risch,Jim,Risch,@SenatorRisch,,@JimRisch,
Illinois,Tammy Duckworth,Tammy,Duckworth,@SenDuckworth,@TammyforIL,TammyForIllinois,
Illinois,Dick Durbin,Dick,Durbin,@SenatorDurbin,,@DickDurbin,
Indiana,Joe Donnelly,Joe,Donnelly,@SenDonnelly,,,
Indiana,Todd Young,Todd,Young,@SenToddYoung,,@ToddYoungIN,ToddYoungIndiana
Iowa,Chuck Grassley,Chuck,Grassley,@ChuckGrassley,@GrassleyOffice,@GrassleyWorks,
Iowa,Joni Ernst,Joni,Ernst,@joniernst,,,
Kansas,Pat Roberts,Pat,Roberts,@SenPatRoberts,,@PatRoberts2014,
Kansas,Jerry Moran,Jerry,Moran,@JerryMoran,,@moranforkansas,
Kentucky,Mitch McConnell,Mitch,McConnell,@SenateMajLdr,@McConnellPress,@Team_Mitch,
Kentucky,Rand Paul,Rand,Paul,@RandPaul,,@Team_Rand,
Louisiana,Bill Cassidy,Bill,Cassidy,@BillCassidy,,,
Louisiana,John Neely Kennedy,John,Kennedy,@SenJohnKennedy,,@JohnKennedyLA,
Maine,Angus King,Angus,King,@SenAngusKing,,@AngusKing2018,
Maine,Susan Collins,Susan,Collins,@SenatorCollins,,@collins4senator,
Maryland,Chris Van Hollen,Chris,Van Hollen,@ChrisVanHollen,,@VanHollenForMD,VanHollenForMD
Maryland,Ben Cardin,Ben,Cardin,@SenatorCardin,,@BenCardinforMD,
Massachusetts,Ed Markey,Ed,Markey,@senmarkey,,@EdMarkey,
Massachusetts,Elizabeth Warren,Elizabeth,Warren,@SenWarren,,@elizabethforma,
Michigan,Gary Peters,Gary,Peters,@SenGaryPeters,,@Peters4Michigan,
Michigan,Debbie Stabenow,Debbie,Stabenow,@SenStabenow,@stabenow,@TeamStabenow,
Minnesota,Amy Klobuchar,Amy,Klobuchar,@amyklobuchar,,,
Minnesota,Al Franken,Al,Franken,@SenFranken,,@alfranken,
Mississippi,Thad Cochran,Thad,Cochran,@SenThadCochran,,,
Mississippi,Roger Wicker,Roger,Wicker,@SenatorWicker,,@RogerWicker,
Missouri,Claire McCaskill,Claire,McCaskill,@clairecmc,@McCaskillOffice,@McCaskill2012,
Missouri,Roy Blunt,Roy,Blunt,@RoyBlunt,@RoyBluntPress,@RoyBluntMO,
Montana,Steve Daines,Steve,Daines,@SteveDaines,,@DainesforMT,
Montana,Jon Tester,Jon,Tester,@SenatorTester,,@jontester,
Nebraska,Deb Fischer,Deb,Fischer,@SenatorFischer,,@DebFischer2012,
Nebraska,Ben Sasse,Ben,Sasse,@SenSasse,@BenSasse,@Sasse4Senate,
Nevada,Catherine Cortez Masto,Catherine,Cortez Masto,@SenCortezMasto,,@CatherineForNV @cortezmasto(En Espaí±ol),catherinecortezmasto
Nevada,Dean Heller,Dean,Heller,@SenDeanHeller,,@DeanHeller,
New Hampshire,Jeanne Shaheen,Jeanne,Shaheen,@SenatorShaheen,,@JeanneShaheen,
New Hampshire,Maggie Hassan,Maggie,Hassan,@SenatorHassan,@AFJacobs,@Maggie_Hassan,maggiefornh
New Jersey,Cory Booker,Cory,Booker,@CoryBooker,@SenBookerOfc,@Booker4Senate,
New Jersey,Bob Menendez,Bob,Menendez,@SenatorMenendez,,@Menendez4NJ,
New Mexico,Martin Heinrich,Martin,Heinrich,@MartinHeinrich,,@Heinrich4NM,
New Mexico,Tom Udall,Tom,Udall,@SenatorTomUdall,@TomUdallPress,@tomudall,
New York,Chuck Schumer,Chuck,Schumer,@SenSchumer,,@chuckschumer,
New York,Kirsten Gillibrand,Kirsten,Gillibrand,@SenGillibrand,,,
North Carolina,Richard Burr,Richard,Burr,@SenatorBurr,,@Burrforsenate,
North Carolina,Thom Tillis,Thom,Tillis,@SenThomTillis,,@ThomTillis,
North Dakota,Heidi Heitkamp,Heidi,Heitkamp,@SenatorHeitkamp,,@Heidi4ND,
North Dakota,John Hoeven,John,Hoeven,@SenJohnHoeven,,@hoeven4senate,
Ohio,Sherrod Brown,Sherrod,Brown,@SenSherrodBrown,,@SherrodBrown,
Ohio,Rob Portman,Rob,Portman,@SenRobPortman,@PortmanPress,@robportman,
Oklahoma,Jim Inhofe,Jim,Inhofe,@jiminhofe,@InhofePress,@jiminhofe,
Oklahoma,James Lankford,James,Lankford,@SenatorLankford,,@jameslankford,
Oregon,Ron Wyden,Ron,Wyden,@RonWyden,@WydenPress,@WydenForOregon,
Oregon,Jeff Merkley,Jeff,Merkley,@SenJeffMerkley,,@JeffMerkley,
Pennsylvania,"Bob Casey, Jr.",Bob,Casey,@SenBobCasey,,@Bob_Casey,
Pennsylvania,Pat Toomey,Pat,Toomey,@SenToomey,,@ToomeyForSenate,
Rhode Island,Jack Reed,Jack,Reed,@SenJackReed,,,
Rhode Island,Sheldon Whitehouse,Sheldon,Whitehouse,@SenWhitehouse,,@SheldonforRI,
South Carolina,Lindsey Graham,Lindsey,Graham,@GrahamBlog,,@LindseyGrahamSC,
South Carolina,Tim Scott,Tim,Scott,@SenatorTimScott,,@votetimscott,
South Dakota,Mike Rounds,Mike,Rounds,@SenatorRounds,,@RoundsforSenate,
South Dakota,John Thune,John,Thune,@SenJohnThune,,@johnthune,
Tennessee,Lamar Alexander,Lamar,Alexander,@SenAlexander,,@LamarAlexander,
Tennessee,Bob Corker,Bob,Corker,@SenBobCorker,,@CorkerforTN,
Texas,John Cornyn,John,Cornyn,@JohnCornyn,,@TeamCornyn,
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,
Utah,Orrin Hatch,Orrin,Hatch,@SenOrrinHatch,,@OrrinHatch,
Utah,Mike Lee,Mike,Lee,@SenMikeLee,,@mikelee2010,
Vermont,Patrick Leahy,Patrick,Leahy,@SenatorLeahy,,,
Vermont,Bernie Sanders,Bernie,Sanders,@SenSanders,,@FriendsOfBernie,
Virginia,Tim Kaine,Tim,Kaine,@timkaine,@SenKaineOffice,,
Virginia,Mark Warner,Mark,Warner,@MarkWarner,,@MarkWarnerVA,
Washington,Patty Murray,Patty,Murray,@PattyMurray,,@MurrayCampaign,
Washington,Maria Cantwell,Maria,Cantwell,@SenatorCantwell,,@MariaCantwell,
West Virginia,Shelley Moore Capito,Shelley Moore,Capito,@SenCapito,,@CapitoforWV,
West Virginia,Joe Manchin,Joe,Manchin,@Sen_JoeManchin,,@JoeManchinWV,
Wisconsin,Tammy Baldwin,Tammy,Baldwin,@SenatorBaldwin,,@tammybaldwin,
Wisconsin,Ron Johnson,Ron,Johnson,@SenRonJohnson,,@Ron4Senate,
Wyoming,Mike Enzi,Mike,Enzi,@SenatorEnzi,,@EnziforWyo,
